"","X1","station","index","bicycle_count","bus_count","car_count","filename","motorcycle_count","person_count","s3url","time","truck_count","camcode","year","month","day","date","Assets_All_Index","latitude","longitude","region","rotation","street_address","time_pacific","time_est"
"149",44035,NA,838493,0,0,0,"2020-12-07-09-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-07-09-22-42-enc_104_140_cam1.jpg",2020-12-07 09:22:42,0,NA,2020,12,7,"12/7/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-07 01:22:42,01:22:42
"150",44036,NA,793165,0,0,9,"2020-12-01-16-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-01-16-22-43-enc_104_140_cam1.jpg",2020-12-01 16:22:43,1,NA,2020,12,1,"12/1/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-01 08:22:43,08:22:43
"151",44038,NA,961985,0,0,9,"2020-12-22-23-22-43-enc_104_140_cam1.jpg",0,1,"out/2020-12-22-23-22-43-enc_104_140_cam1.jpg",2020-12-22 23:22:43,0,NA,2020,12,22,"12/22/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-22 15:22:43,15:22:43
"152",44039,NA,959999,0,0,1,"2020-12-22-17-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-22-17-22-43-enc_104_140_cam1.jpg",2020-12-22 17:22:43,0,NA,2020,12,22,"12/22/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-22 09:22:43,09:22:43
"153",44040,NA,886019,0,0,1,"2020-12-13-09-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-13-09-22-42-enc_104_140_cam1.jpg",2020-12-13 09:22:42,0,NA,2020,12,13,"12/13/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-13 01:22:42,01:22:42
"154",44041,NA,886342,0,0,0,"2020-12-13-10-22-43-enc_104_140_cam1.jpg",0,0,"out/2020-12-13-10-22-43-enc_104_140_cam1.jpg",2020-12-13 10:22:43,0,NA,2020,12,13,"12/13/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-13 02:22:43,02:22:43
"155",44042,NA,910390,0,0,0,"2020-12-16-11-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-16-11-22-42-enc_104_140_cam1.jpg",2020-12-16 11:22:42,0,NA,2020,12,16,"12/16/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-16 03:22:42,03:22:42
"156",44043,NA,985110,0,0,0,"2020-12-25-21-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-25-21-22-42-enc_104_140_cam1.jpg",2020-12-25 21:22:42,0,NA,2020,12,25,"12/25/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-25 13:22:42,13:22:42
"157",44044,NA,975867,0,0,3,"2020-12-24-17-22-43-enc_104_140_cam1.jpg",0,1,"out/2020-12-24-17-22-43-enc_104_140_cam1.jpg",2020-12-24 17:22:43,0,NA,2020,12,24,"12/24/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-24 09:22:43,09:22:43
"158",44045,NA,865580,0,0,4,"2020-12-10-19-22-42-enc_104_140_cam1.jpg",0,0,"out/2020-12-10-19-22-42-enc_104_140_cam1.jpg",2020-12-10 19:22:42,1,NA,2020,12,10,"12/10/2020",487,49.19147402,-122.8341328,"British Columbia",0,"104 Ave And 140 St",2020-12-10 11:22:42,11:22:42
